UniProt Accession Numbers
Q15828
P01040
P04080
X6R8A1
P07858
P53634
P07339
Q9UBX1
P08311
P09668
P43235
P07711
P25774
O60911
Q9UBR2
Q9GZT9
P08246
P00742
P00748
P00488
P05160
P00734
P08709
P00740
O75063
Q8IXL6
Q14520
Q9Y251
Q8WWQ2
P04196
Q92743
P83110
P19827
P19823
Q06033
B7ZKJ8
Q86UX2
Q6UXX5
P01042-2
Q32P28-3
Q8IVL6
Q8IVL6-2
P28300
Q08397
Q9Y4K0
P58215
Q96JB6
P08519
O00187
P03956
P09238
P24347
P39900
P50281
Q99542
P08253
O75900-2
O75086
Q9H239
P08254
P09237
P14780
Q96IV0
P13674
P13674-2
O15460
Q9NXG6-3
Q13219
P00750
E7ET40
P00747
Q02809-2
O00469-2
O60568
E7EQ64
P56730
P35030
P20742
P01009
G3V2W1
Q86U17
P01011
P29622
P05154
P30740
P48595
Q96P63-2
P29508
P48594
P36952
P35237
O75635
P50452
P50453
P01008
P05546
P05121
P07093-3
P07093
P36955
P08697
P05155-3
E9PGN7
P50454
P03973
Q9Y5Y6
Q8IWU6
P22735
P21980
P21980-3
Q08188
O43548
Q96PF1
P01033
Q5H9B5
P35625
E9PD25
Q9Y6L7
Q9UKU9
Q9BY76
Q8NI99
P12645
P18075
B2RNN3
P23435
Q9NTU7
Q6UXH8
P55774
Q5VZ75
O00585
Q9NRJ3
Q9H2X0
Q9BU40-6
Q6WN34
O75462
Q8IUI8
Q9UBG3
P09341
P48061-4
O43927
O95715
P19876
P42830
P01133
Q9UHF1
P09038
P31371
P20930
Q5D862
Q92765
P55107
Q99988
Q7Z4P5
P51610
P51610-2
Q9Y5Z7
Q86YZ3
Q14005
Q8TAD2
P55103
P58166
O75610
O00292
O75095
Q7Z7M0
G3XAK1
P01138
O14511-3
D9ZHQ7
P10720
P02775
P23297
P60903
P31949
P80511
Q99584
Q9HCY8
Q96FQ6
P29034
Q5RHS7
P26447
P06703
P31151
P05109
P06702
P04271
P25815
Q8N474
Q07283
P01137
P61812-2
O75888-2
O96014
Q93097
P41221
Q9H1J7
Q9Y6F9
O00755
O14904
Q5JPC9
Q8IUX7-2
O00468-7
O00468
Q8IUL8
Q9Y215
G3XAP6
Q96HD1
P29279-2
P18406
Q9UGM3-7
Q16610
O94769-2
Q12805-3
P15502-2
P15502-6
Q96A84
Q9Y6C2-2
Q9NT22-2
P23142-3
B1AHL2
P98095
Q9UBX5
Q53RD9-2
F6U495
D6RJI3
D6REL8
P02679-2
P02751-7
P02751-3
Q4ZHG4-2
Q86XX4
Q14393-2
Q6ZMI3
Q96RW7-3
Q8NDA2-2
P35858
P17936
Q16270-2
Q16787-3
Q16363-2
P07942
A4D0S4-3
Q13753-2
Q5JTC4
O95970-3
A8MVC2
Q14766-2
Q14766-5
C9JD84
G3V3X5
Q9NS15-2
E7EUU1
Q8N2S1-3
O00339-3
Q9NQ76
P55001-2
P55082-2
P55083-2
Q13361-2
F5GZN3
P08493
E7EPG1
P14543-2
Q14112-2
Q6UXI9
Q9HB63-2
H9KVB3
O95428-5
Q15063
B1ALD9
Q92626-2
A1KZ92-2
P78509
Q8TER0-5
Q14515-2
P10451-4
P78539-3
A0A075B6H2
D6RBX4
P07996-2
Q6ZMP0-4
Q9UJW2-2
Q9GZM7-3
P24821-3
J3QSU6
Q92752-2
P22105-2
P22105-3
Q6PCB0-2
B4DHS6
Q5TIE3-2
Q96SY0
B4DY31
J3KQJ9
P04275-2
O76076-2
P12107
H0YIS1
P13942-3
Q99715
Q5TAT6-2
Q5TAT6-3
Q05707-2
Q07092-2
Q9UMD9-2
P39060-1
Q9P218
F5GZK2
Q8NFW1-3
Q17RW2-2
Q9BXS0-2
C9JPW4
Q8IZC6-3
Q2UY09-2
P02458-3
P02462-2
Q01955-3
P29400-2
F5H3Q5
P12110-3
P12111-2
E9PAL5
A6NMZ7-2
Q02388-2
P20849-2
Q5TBF2
Q6NUI6-2
P07585-2
D6RAK7
Q7Z5L7-2
P13727-2
Q92954-6
P13611-5
P50995-2
P27216
P07355-2
D6RA82
Q6P452
D6RBL5
P08133-2
P20073-2
D6R934
Q5VWW1-2
M0R081
Q5QGZ9
F5H550
E9PHK0
Q9BWP8-2
Q9BWP8
Q15485
Q5SSB9
Q5SZK8-2
P35052-2
O75487-2
O60565-2
Q8WWU7-2
F8WEI7
G3V3R6
O00214-2
O00182-2
P15941
Q9UKN1-2
B5ME49
Q7Z5P9-2
Q8N307
Q99102-10
Q99102-15
Q8IUK5
Q6UX71-2
O43157-2
B4DHQ7
Q9Y4D7-2
E9PNV6
Q13214-2
Q13275-2
Q5TCJ5
Q9NPR2
Q92854-2
Q8NFY4-6
O75326-2
O14672-2
O43184-2
Q13444-4
Q13444-8
P78536-2
Q9H013-2
P78325-3
H0YKZ1
A0AVL1
O15204-2
Q9H324
P58397-3
Q76LX8
Q8TE57-2
Q8N6G6-6
Q86TH1
Q6UY14
Q6ZMM2-2
P13497-6
Q2M2W7-2
Q6YHK3-4
C9J0E4
P10619
E9PCB3
F8WD96
P25774-2
Q5T8F0
Q9GZT9-2
B7ZBK1
E9PIT3
P08709-2
P00740-2
Q8IXL6-2
Q14520-2
Q9Y251-2
Q8WWQ2-3
P83110-2
P19827-2
Q5T985
Q06033-2
Q14624
G5E9D8
P01042
Q32P28
H3BUV8
E7END4
E9Q600
O00187-2
E9PED7
P53690
F8W1C3
P08253-3
O75900
Q9H239-2
Q96IV0-2
P13674-3
O15460-2
Q9NXG6
P00750-3
P00749
Q5TEH5
Q02809
O00469
P07477
P35030-4
P20742-2
P01009-2
Q9UK55
G3V3A0
P30740-2
Q96P63
P29508-2
F8W9L1
P36952-2
O75635-2
P50452-2
P05121-2
P07093-2
I3L1U4
P08697-2
P05155
E9PPV6
B4DWR7
P21980-2
O43548-2
Q5H9A7
O43897
O95841
Q9BY76-2
K7EKF6
B1AL00
P0C862
Q6UXH8-3
Q99731
Q5VZ73
D6RC73
E7ESX1
Q9BU40
Q6WN34-2
Q8IUI8-2
P48061-3
P01133-3
P09038-1
A6NEM2
Q9D968
Q14005-2
O00292-2
O75095-2
Q7Z7M0-2
P26927
O14511-4
P56975
P02776
Q5T7Y4
P50543
R4GN49
Q86SG5
A8MRB1
Q8C4U3
P61812
O43508-2
Q93097-2
P41221-2
A8K0G1
Q7Z7G0-3
O00468-4
Q9Y215-4
P49747-2
Q9UGM3
Q16610-2
Q12805-4
E7ENM0
P15502-12
Q96A84-2
P23142-2
G3XA98
Q53RD9-3
P35556-2
C9JC84
P02751-11
P02751-8
Q86XX4-5
Q14393-3
Q8NDA2-3
B3KWK7
Q16787-1
Q16363-3
E7EPA6
A4D0S4-2
Q8N135-2
E7EV71
G3V511
E9PJR2
Q8N2S1-4
E7ENG9
J3KN08
D6RAC8
P55001-3
O75121
P55083
F5GYX4
Q08431-2
Q13201-2
Q6UXI9-4
Q9HB63-3
Q6ZRI0-2
O95428-6
A1KZ92-3
P78509-2
B5MEF5
P10451-2
P78539-5
Q4LDE5-4
Q6ZMP0-2
B1AQ11
B4DNS5
P24821-6
P24821-2
Q16473
O00534-2
Q5TIE3-5
B4DVT3
Q8N2E2-3
P12107-3
P13942-8
P13942-2
Q99715-4
Q5TAT6-5
Q5TAT6-4
Q05707-3
A6NCT7
A2A2Y8
P39060-2
Q96P44-3
F8WDM8
Q96A83-2
Q2UY09-3
F5H5K0
Q01955-4
E7ENL6
A8TX70-2
P20849-3
P07585-3
H3BTH8
Q7Z5L7
Q92954-2
P13611-2
H0YMU9
P09525-2
D6RBE9
E7EMC6
Q5QGZ9-4
Q6UXF7
Q9BWP8-3
Q9BWP8-4
Q8WWA0
E9PN19
Q6DKI2
P15941-3
V9GY53
Q8N307-3
Q99102-17
E7EQG8
Q8IUK5-4
O43157-3
F8W1K6
Q9BYZ8-2
C9JPG5
Q9H3S1-2
Q9NPR2-2
E9PFD9
Q8NFY4-5
F5GYX3
O43184-4
Q13444-6
E9PXU2
Q13443-2
M0QY12
D6REX0
Q76LX8-2
Q2XQZ0
Q8N6G6-4
Q6UY14-2
X6R4H8
P13497-2
Q6YHK3-2
X6R5C5
Q5NE16
Q9GZT9-3
Q5JVE8
F5H8B0
Q9Y251-3
Q8WWQ2-4
P19827-3
E7ET33
Q14624-3
C9J2H1
P01042-3
Q32P28-4
B8ZZT6
Q924C6
Q99542-3
P08253-2
O75900-3
Q96IV0-5
Q60716-2
Q9NXG6-2
E7ESF4
P00749-2
Q02325
Q5JXB9
E7ETU9
Q8NHM4
P35030-2
F5GXY0
P01009-3
P01011-2
O75830
P05155-2
E9PKH2
P49221
G3X9F5
Q9BY76-3
Q8NCH7
B1AKZ9
Q6UXH8-2
Q9NRJ3-2
Q9H2X0-5
Q9BU40-4
P48061-6
P01133-2
P09038-3
P51610-4
C0H5X3
H3BVH5
H7C557
F5GZG7
Q2TV78
O14511
P56975-2
Q5T7Y6
P50114
O75888
Q5TEH8
P56706
Q7Z7G0-2
O00468-5
Q9Y215-8
Q9UGM3-3
Q16610-3
Q12805-2
P15502-1
B0QYK4
Q53RD9-4
E9PHW4
C9JEU5
P02751-12
P02751-14
Q86XX4-6
Q14393-4
H0Y3X1
P47878
Q16787-4
C9JMJ0
E9PR84
O00339-2
Q9NQ76-3
O75121-2
B3KW70
Q08431-3
Q6UXI9-5
O95428-4
P78509-3
Q8TER0-4
P10451-3
P78539-4
Q4LDE5-2
Q5T471
O00534-3
E7EM39
H3BRY6
P12107-4
P13942-5
Q99715-2
Q5TAT6-9
Q4G0W3
Q01955-5
P12111-5
P07585-4
Q86UW8
Q7Z5L7-4
Q92954-3
P13611-3
A6NMY6
E9PHT9
E5RI05
Q5QGZ9-5
A5D8T8
Q9BWP8-5
F8WB29
F6V2D4
Q3B8N2
P15941-4
E9PH32
E9PDY6
Q8IUK5-2
Q8NFY4-4
O43184-3
Q13444-3
Q9Z0F8
F8WC54
P58397-2
Q8N6G6-1
Q0VD77
P13497-5
Q6YHK3-3
P10619-2
Q9Y251-4
Q8WWQ2-2
F8WAS2
Q14624-2
Q86UX2-2
Q32P28-2
P58215-3
Q96IV0-3
Q8BG58
B4DN26
B3KWS3
P07478
P35030-3
H9KV48
Q62381
Q9H2X0-4
Q9BU40-5
P48061
P09038-2
P51610-3
Q14005-3
Q2TV78-2
O14511-2
P56975-4
O75888-4
P09544
B8A595
O00468-2
Q9Y215-7
Q9UGM3-5
P15502-4
B8ZZC1
D6REJ2
P02751-16
P02751-17
Q86XX4-4
Q14393-5
A0A075B783
E9PQR0
O00339-4
F5H2W4
X6R3G6
Q6UXI9-2
G3V5P6
Q8TER0-3
A0A075B6H1
Q5T466
O00534-4
Q5TIE3-4
Q96SY0-3
P13942-4
P12111-3
F8VU58
Q96S86
Q92954-4
E9PF17
H0YLV6
D6RCN3
E5RIU8
Q8NCF0
Q9BWP8-6
A8DIL0
Q3B8N2-2
P15941-8
E7ENC5
Q8IUK5-3
Q8NFY4-2
Q13444-12
Q9Z0F8-2
Q8N6G6-2
P98063
D6RHG4
B5MCP1
Q14624-4
Q86UX2-3
F2Z499
P58215-2
Q96IV0-4
B4DNJ1
F8WEW3
P35030-5
O43897-2
Q9H2X0-3
Q9BU40-2
P48061-5
F5GZS7
P56975-3
O75888-5
D6RF47
B8A597
Q9UGM3-8
P15502
P02751-6
Q70E20-2
P13942-6
F8VNW0
Q86W61
Q9BWP8-8
F8W9W4
P15941-17
Q99102-12
Q13444-7
A6NIB9
P13497-3
P00750-2
O14511-7
D9ZHQ8
O75888-3
Q9H1J5
Q9Y215-6
Q9UGM3-2
P15502-10
P02751-2
P02751-9
E9PRF2
F5H7Z2
O95428-3
Q70E20
Q4LDE5-3
Q5TIE3-3
Q96SY0-4
P13942-7
F8VSI3
Q80WM4
Q92954-5
P13611-4
H0YKN4
Q8NCF0-2
Q9BWP8-7
Q9JL15
J3KSY2
P15941-11
Q99102-13
Q8NFY4-3
Q13444-2
E7EUI5
A2A343
Q3MIM8
D6RAQ1
Q86UX2-4
B9A025
Q9JI78
P00750-4
Q62381-2
Q9H2X0-2
Q9BU40-3
P48061-2
O14511-8
D9ZHQ6
K7EJ28
Q9H1J5-2
Q9UGM3-4
P15502-5
P02751-4
P07585-5
J3QR96
P15941-7
Q99102-3
Q13444-9
F8WEP3
B7ZKR5
Q9UGM3-9
P15502-9
J3KT17
P15941-6
E7EWN1
Q13444-10
Q9WVM6
F8WAH6
B1AVQ7
P15941-15
P15941-13
P15941-10
P15941-9
P15941-16
P15941-12
Q13444-11
E9Q5B9
